date,location,total_cases,new_cases,total_deaths,new_deaths,median_age,total_vaccinations,people_fully_vaccinated,new_vaccinations,total_boosters,population,population_density,stringency_index
2020-01-30,India,1.0,1.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-01-31,India,1.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-01,India,1.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-02,India,2.0,1.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-03,India,3.0,1.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-04,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-05,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-06,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-07,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-08,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-09,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-10,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-11,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-12,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-13,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-14,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-15,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-16,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-17,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-18,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-19,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-20,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-21,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-22,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-23,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-24,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-25,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-26,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-27,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-28,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-02-29,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-03-01,India,3.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-03-02,India,5.0,2.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-03-03,India,5.0,0.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-03-04,India,28.0,23.0,,,28.2,,,,,1.393409033e9,450.419,10.19
2020-03-05,India,30.0,2.0,,,28.2,,,,,1.393409033e9,450.419,26.85
2020-03-06,India,31.0,1.0,,,28.2,,,,,1.393409033e9,450.419,26.85
2020-03-07,India,34.0,3.0,,,28.2,,,,,1.393409033e9,450.419,26.85
2020-03-08,India,39.0,5.0,,,28.2,,,,,1.393409033e9,450.419,26.85
2020-03-09,India,43.0,4.0,,,28.2,,,,,1.393409033e9,450.419,26.85
